Instructor,Course,Term,Enroll,Evals Made,Rcmnd Class,Rcmnd Instr,Study Hrs/wk,Avg Grade Expected,Avg Grade Received
"Cooper, Andrew Michael",BILD 1 - The Cell (C),WI21,166,146,80.7%,79.3%,6.13,B (3.11),B (3.11)
"Owens, Melinda Tsao-Ying",BILD 1 - The Cell (D),WI21,180,155,98.7%,99.4%,5.39,A- (3.75),B+ (3.67)
"Owens, Melinda Tsao-Ying",BILD 1 - The Cell (E),WI21,188,161,96.3%,96.9%,5.79,B+ (3.59),B+ (3.50)
"Komiyama, Takaki",BILD 12 - Neurobiology and Behavior (A),WI21,89,36,94.3%,97.1%,3.61,B+ (3.43),B (3.25)
"Su, Chih-Ying",BILD 2 - Multicellular Life (A),WI21,170,125,92.7%,85.5%,5.39,B (3.18),B (3.14)
"Schroeder, Julian I",BILD 2 - Multicellular Life (B),WI21,202,169,95.8%,94.6%,5.21,B+ (3.43),B+ (3.56)
"Park, Ji Young",BILD 2 - Multicellular Life (G),WI21,52,39,100.0%,94.7%,4.81,B+ (3.68),B+ (3.39)
"Park, Ji Young",BILD 2 - Multicellular Life (H),WI21,51,38,100.0%,100.0%,5.82,A- (3.75),B+ (3.40)
"Park, Ji Young",BILD 2 - Multicellular Life (I),WI21,53,45,97.8%,97.8%,5.48,A- (3.78),B+ (3.52)
"Strause, Linda G.",BILD 22 - Human Nutrition (A),WI21,371,157,87.0%,90.1%,4.49,B+ (3.49),B+ (3.55)
"Gambel, Jessica Erin",BILD 3 - Organismic&Evolutionary Biol (A),WI21,176,111,100.0%,97.2%,4.56,B+ (3.63),B+ (3.63)
"Gambel, Jessica Erin",BILD 3 - Organismic&Evolutionary Biol (B),WI21,162,113,100.0%,100.0%,4.32,B+ (3.64),B+ (3.57)
"Gambel, Jessica Erin",BILD 3 - Organismic&Evolutionary Biol (C),WI21,135,87,93.1%,94.3%,5.35,B+ (3.64),B+ (3.51)
"Caffrey, Carolee",BILD 3 - Organismic&Evolutionary Biol (D),WI21,140,99,88.9%,80.8%,6.09,B+ (3.48),B (3.22)
"Butler, Shannon Rhey",BILD 3 - Organismic&Evolutionary Biol (P),WI21,179,146,92.3%,93.0%,5.31,B+ (3.56),B+ (3.63)
"Macagno, Eduardo R.","BILD 38 - Dementia, Science and Society (A)",WI21,46,21,94.7%,100.0%,4.00,B+ (3.45),A- (3.81)
"Mel, Stephanie",BILD 4 - Introductory Biology Lab (A),WI21,188,123,95.1%,96.7%,3.39,A- (3.88),A- (3.81)
"Lo, Stanley Malvin Ming-Hi",BILD 4 - Introductory Biology Lab (B),WI21,194,155,86.9%,96.1%,3.47,A- (3.78),A- (3.77)
"Reuther, Keefe",BILD 4 - Introductory Biology Lab (C),WI21,196,131,95.4%,99.2%,3.32,A- (3.78),A- (3.83)
"Cleland, Elsa Eleanor",BILD 46 - Eco: Changing Planet (A),WI21,38,18,100.0%,100.0%,3.50,B+ (3.67),B+ (3.57)
"Mel, Stephanie",BILD 60 - DEI in Relation to Human Bio (A),WI21,46,25,100.0%,100.0%,3.33,A- (3.88),A- (3.86)
"Pogliano, Joseph",BILD 81 - Job Intern Prep:Interview (A),WI21,10,4,100.0%,100.0%,3.17,A (4.00),N/A
"Briggs, Steven",BILD 92 - Prof Dev Topics in Biology (A),WI21,14,7,100.0%,100.0%,2.21,N/A,N/A
"Mel, Stephanie",BILD 1 - The Cell (A),FA20,46,19,100.0%,94.7%,4.39,B (3.22),C+ (2.50)
"Mel, Stephanie",BILD 1 - The Cell (B),FA20,49,33,87.9%,93.9%,5.47,B (3.13),B- (2.99)
"Mel, Stephanie",BILD 1 - The Cell (C),FA20,49,23,95.2%,95.0%,4.95,B+ (3.41),B (3.09)
"Pekkurnaz Banghart, Gulcin",BILD 1 - The Cell (D),FA20,49,39,97.4%,100.0%,5.24,B+ (3.68),B+ (3.50)
"Pekkurnaz Banghart, Gulcin",BILD 1 - The Cell (E),FA20,48,44,97.7%,95.5%,5.36,A- (3.78),B+ (3.44)
"Pekkurnaz Banghart, Gulcin",BILD 1 - The Cell (F),FA20,50,41,95.1%,100.0%,3.52,A- (3.77),B+ (3.53)
"Butler, Shannon Rhey",BILD 1 - The Cell (G),FA20,199,156,93.5%,94.2%,5.10,B+ (3.45),B+ (3.33)
"Chu, Monica W",BILD 1 - The Cell (H),FA20,47,34,91.2%,88.2%,4.85,B (3.27),B- (2.77)
"Chu, Monica W",BILD 1 - The Cell (I),FA20,47,43,90.7%,97.7%,4.97,B (3.24),B- (2.97)
"Chu, Monica W",BILD 1 - The Cell (J),FA20,49,37,89.2%,91.9%,5.36,B (3.15),B- (2.71)
"Chu, Monica W",BILD 1 - The Cell (K),FA20,50,35,100.0%,97.1%,4.10,B+ (3.49),B- (2.99)
"Chu, Monica W",BILD 1 - The Cell (L),FA20,42,33,93.9%,93.9%,5.65,B+ (3.33),B- (2.87)
"Chu, Monica W",BILD 1 - The Cell (M),FA20,50,40,92.5%,100.0%,6.15,B+ (3.45),B (3.10)
"Chu, Monica W",BILD 1 - The Cell (N),FA20,49,41,95.1%,92.5%,5.28,B+ (3.50),B (3.23)
"Chu, Monica W",BILD 1 - The Cell (O),FA20,45,34,97.1%,97.1%,6.03,B+ (3.44),B (3.15)
"Chu, Monica W",BILD 1 - The Cell (P),FA20,49,28,92.6%,84.6%,5.69,B+ (3.48),B- (2.95)
"Pirino, Giorgia",BILD 10 - Fundamental Concepts/Modrn Bio (A),FA20,229,180,96.1%,94.4%,4.33,A- (3.72),B+ (3.54)
"Owens, Melinda Tsao-Ying",BILD 2 - Multicellular Life (A),FA20,41,33,100.0%,100.0%,6.26,B+ (3.67),B+ (3.33)
"Owens, Melinda Tsao-Ying",BILD 2 - Multicellular Life (B),FA20,40,32,93.8%,87.5%,6.44,B+ (3.69),B+ (3.60)
"Owens, Melinda Tsao-Ying",BILD 2 - Multicellular Life (C),FA20,40,32,100.0%,100.0%,6.25,B+ (3.63),B+ (3.53)
"Glasgow, Stacey Marie",BILD 2 - Multicellular Life (D),FA20,40,27,96.3%,96.3%,5.46,B+ (3.52),B (3.22)
"Glasgow, Stacey Marie",BILD 2 - Multicellular Life (E),FA20,39,25,96.0%,96.0%,6.50,B+ (3.40),B- (2.99)
"Glasgow, Stacey Marie",BILD 2 - Multicellular Life (F),FA20,40,31,100.0%,96.8%,5.60,B+ (3.45),B- (2.95)
"Park, Ji Young",BILD 2 - Multicellular Life (G),FA20,38,31,100.0%,100.0%,5.02,B+ (3.60),B (3.29)
"Park, Ji Young",BILD 2 - Multicellular Life (H),FA20,41,33,100.0%,97.0%,5.11,B+ (3.61),B (3.18)
"Park, Ji Young",BILD 2 - Multicellular Life (I),FA20,40,28,96.3%,100.0%,5.19,B+ (3.50),B (3.13)
"Kuret, Thomas Joseph",BILD 2 - Multicellular Life (J),FA20,116,91,97.8%,93.3%,6.17,B+ (3.45),B+ (3.31)
"Rana, Brinda Kanti",BILD 20 - Human Genetics/Modern Society (A),FA20,122,106,78.3%,84.0%,4.25,B (3.04),B (3.23)
"Stockwell, Sarah R",BILD 3 - Organismic&Evolutionary Biol (A),FA20,50,31,100.0%,100.0%,5.27,B+ (3.43),B (3.22)
"Stockwell, Sarah R",BILD 3 - Organismic&Evolutionary Biol (B),FA20,49,35,97.1%,97.1%,4.16,A- (3.71),B+ (3.35)
"Stockwell, Sarah R",BILD 3 - Organismic&Evolutionary Biol (C),FA20,49,36,100.0%,100.0%,5.00,B+ (3.63),B+ (3.43)
"Stockwell, Sarah R",BILD 3 - Organismic&Evolutionary Biol (D),FA20,50,35,94.1%,97.1%,4.50,B+ (3.50),B (3.27)
"Stockwell, Sarah R",BILD 3 - Organismic&Evolutionary Biol (E),FA20,48,36,97.2%,100.0%,5.11,B+ (3.63),A- (3.84)
"Stockwell, Sarah R",BILD 3 - Organismic&Evolutionary Biol (F),FA20,48,36,94.3%,97.1%,4.56,B+ (3.54),B+ (3.47)
"Reuther, Keefe",BILD 3 - Organismic&Evolutionary Biol (G),FA20,49,37,91.7%,94.4%,4.99,B+ (3.68),A- (3.79)
"Reuther, Keefe",BILD 3 - Organismic&Evolutionary Biol (H),FA20,50,42,95.2%,97.6%,5.21,B+ (3.62),A- (3.78)
"Reuther, Keefe",BILD 3 - Organismic&Evolutionary Biol (I),FA20,49,40,90.0%,97.5%,4.75,B+ (3.55),A- (3.72)
"Gambel, Jessica Erin",BILD 3 - Organismic&Evolutionary Biol (J),FA20,33,20,95.0%,89.5%,5.20,B+ (3.30),B+ (3.36)
"Gambel, Jessica Erin",BILD 3 - Organismic&Evolutionary Biol (K),FA20,20,13,92.3%,92.3%,5.88,B (3.08),B- (2.97)
"Gambel, Jessica Erin",BILD 3 - Organismic&Evolutionary Biol (L),FA20,19,9,87.5%,100.0%,4.75,B (3.25),N/A
"Caffrey, Carolee",BILD 3 - Organismic&Evolutionary Biol (M),FA20,21,14,100.0%,92.9%,5.07,B+ (3.64),B- (2.80)
"Caffrey, Carolee",BILD 3 - Organismic&Evolutionary Biol (N),FA20,11,8,87.5%,87.5%,4.25,B+ (3.63),N/A
"Caffrey, Carolee",BILD 3 - Organismic&Evolutionary Biol (O),FA20,34,21,89.5%,89.5%,4.39,B+ (3.50),C+ (2.62)
"Caffrey, Carolee",BILD 3 - Organismic&Evolutionary Biol (P),FA20,142,112,87.3%,86.4%,6.14,B+ (3.43),B (3.09)
"Hedrick, Stephen M",BILD 30 - Biol of Plagues:Past & Present (A),FA20,117,95,95.8%,100.0%,4.04,B+ (3.44),B+ (3.43)
"Burg, Michael",BILD 32 - Intro to Cancer Biology (A),FA20,82,67,98.5%,98.5%,4.38,B+ (3.64),B+ (3.59)
"Lo, Stanley Malvin Ming-Hi",BILD 4 - Introductory Biology Lab (A),FA20,375,306,95.7%,99.7%,2.70,A- (3.85),A- (3.99)
"Mel, Stephanie",BILD 4 - Introductory Biology Lab (B),FA20,187,146,99.3%,99.3%,2.87,A- (3.83),A- (3.83)
"Reuther, Keefe",BILD 4 - Introductory Biology Lab (C),FA20,189,145,93.8%,98.6%,3.13,A- (3.72),B+ (3.58)
"Macagno, Eduardo R.",BILD 60 - DEI in Relation to Human Bio (A),FA20,41,21,95.0%,95.0%,3.10,A- (3.85),B+ (3.37)
"Pogliano, Joseph",BILD 70 - Genomics Research Init Lab I (A),FA20,28,20,100.0%,100.0%,2.50,A (4.00),A (4.00)
"Briggs, Steven",BILD 92 - Prof Dev Topics in Biology (A),FA20,29,15,92.9%,92.3%,1.21,B+ (3.50),N/A
"Briggs, Steven",BILD 92 - Prof Dev Topics in Biology (B),FA20,34,13,92.3%,92.3%,2.19,A (4.00),N/A
"Smith, Laurie",BILD 96 - Biology: Honors Seminar (B),FA20,30,18,100.0%,94.4%,1.17,A (4.00),N/A
"Smith, Laurie",BILD 96 - Biology: Honors Seminar (C),FA20,29,19,100.0%,100.0%,0.71,A (4.00),N/A
"Pagliuso, Delaney Catherine",BILD 1 - The Cell (A),S220,105,76,94.7%,92.0%,6.77,B+ (3.38),B (3.04)
"Gustafson-Brown, Cindy",BILD 10 - Fundamental Concepts/Modrn Bio (A),S220,43,33,84.8%,87.9%,6.92,B+ (3.31),B (3.11)
"Kuret, Thomas Joseph",BILD 2 - Multicellular Life (A),S220,95,79,92.4%,94.9%,7.99,B+ (3.62),B (3.26)
"Park, Ji Young",BILD 2 - Multicellular Life (B),S220,87,58,96.6%,96.6%,6.64,B+ (3.67),B+ (3.57)
"Butler, Shannon Rhey",BILD 3 - Organismic&Evolutionary Biol (A),S220,135,90,88.8%,91.0%,6.79,B+ (3.67),A- (3.73)
"Alfonso, Stephanie Isabel",BILD 1 - The Cell (A),S120,133,44,86.0%,81.0%,6.45,B (3.18),B- (2.75)
"Chun, Lauren Elizabeth",BILD 12 - Neurobiology and Behavior (A),S120,45,14,92.9%,92.9%,5.36,B+ (3.40),B+ (3.45)
"Vijapurkar, Ulka",BILD 2 - Multicellular Life (A),S120,81,29,78.6%,71.4%,8.57,B (3.07),B- (2.88)
"McCulloch, Katherine Anne",BILD 2 - Multicellular Life (B),S120,81,32,96.8%,93.1%,5.53,A- (3.87),A- (3.81)
"Lebeaupin, Cynthia D",BILD 2 - Multicellular Life (C),S120,60,30,100.0%,100.0%,6.57,B+ (3.68),A- (3.76)
"Rana, Brinda Kanti",BILD 20 - Human Genetics/Modern Society (A),S120,43,33,100.0%,100.0%,6.31,B (3.21),B+ (3.51)
"Hsu, Jeremy Lutan",BILD 3 - Organismic&Evolutionary Biol (A),S120,107,49,87.2%,87.2%,6.07,B (3.21),B- (2.82)
"Patrick, Gentry",BILD 1 - The Cell (A),SP20,210,91,88.8%,88.6%,5.36,B (3.24),B+ (3.54)
"Butler, Shannon Rhey",BILD 1 - The Cell (B),SP20,211,169,93.4%,88.6%,5.01,B+ (3.38),B+ (3.46)
"Cooper, Andrew Michael",BILD 1 - The Cell (C),SP20,278,211,86.6%,89.0%,5.95,B (3.09),B+ (3.31)
"Burg, Michael",BILD 2 - Multicellular Life (A),SP20,182,159,96.1%,94.2%,5.53,B+ (3.52),A- (3.74)
"Owens, Melinda Tsao-Ying",BILD 2 - Multicellular Life (B),SP20,259,192,97.4%,94.2%,6.48,B+ (3.65),B+ (3.43)
"Strause, Linda G.",BILD 22 - Human Nutrition (A),SP20,346,152,90.7%,91.9%,3.88,B+ (3.63),A- (3.74)
"Cooper, Kimberly Lynn",BILD 3 - Organismic&Evolutionary Biol (A),SP20,198,130,91.5%,95.4%,5.21,B (3.19),B (3.24)
"Stockwell, Sarah R",BILD 3 - Organismic&Evolutionary Biol (B),SP20,310,210,96.1%,97.1%,4.89,B+ (3.51),B+ (3.63)
"Kurle, Carolyn M.",BILD 3 - Organismic&Evolutionary Biol (C),SP20,315,154,96.7%,99.3%,4.12,B+ (3.64),A- (3.75)
"Mel, Stephanie",BILD 4 - Introductory Biology Lab (A),SP20,187,137,97.1%,100.0%,3.52,A- (3.87),A- (3.82)
"Lo, Stanley Malvin Ming-Hi",BILD 4 - Introductory Biology Lab (B),SP20,183,132,93.9%,98.5%,3.70,A- (3.74),A- (3.73)
"Mayfield, Stephen P.",BILD 42 - Our Sustainable Future (A),SP20,44,11,81.8%,81.8%,4.14,A- (3.86),B+ (3.63)
"Rifkin, Scott",BILD 60 - DEI in Relation to Human Bio (A),SP20,34,16,50.0%,62.5%,10.63,A- (3.75),A- (3.79)
"Bier, Ethan",BILD 7 - The Beginning of Life (A),SP20,174,55,92.6%,94.3%,3.39,B+ (3.62),A- (3.73)
"Yanofsky, Martin F.",BILD 7 - The Beginning of Life (A),SP20,174,55,92.6%,98.1%,3.39,B+ (3.62),A- (3.73)
"Briggs, Steven",BILD 92 - Prof Dev Topics in Biology (A),SP20,14,8,87.5%,87.5%,3.00,C+ (2.50),N/A
"Dutton, Rachel Janelle",BILD 1 - The Cell (A),WI20,395,345,98.5%,98.5%,4.43,B+ (3.51),B+ (3.47)
"Owens, Melinda Tsao-Ying",BILD 1 - The Cell (B),WI20,331,261,82.6%,74.0%,5.56,B (3.30),B (3.29)
"Owens, Melinda Tsao-Ying",BILD 1 - The Cell (C),WI20,347,282,88.2%,76.0%,5.37,B+ (3.41),B+ (3.39)
"Gustafson-Brown, Cindy",BILD 10 - Fundamental Concepts/Modrn Bio (A),WI20,245,156,77.3%,80.7%,4.71,B (3.20),B (3.19)
"Su, Chih-Ying",BILD 2 - Multicellular Life (A),WI20,106,68,92.6%,86.8%,6.38,B (3.21),B (3.03)
"Schroeder, Julian I",BILD 2 - Multicellular Life (B),WI20,214,174,89.5%,87.2%,5.14,B+ (3.38),B+ (3.63)
"Butler, Shannon Rhey",BILD 3 - Organismic&Evolutionary Biol (A),WI20,311,248,93.5%,90.7%,3.89,B+ (3.33),B+ (3.30)
"Reuther, Keefe",BILD 3 - Organismic&Evolutionary Biol (B),WI20,395,309,93.8%,98.3%,4.61,B+ (3.35),B+ (3.53)
"Macagno, Eduardo R.","BILD 38 - Dementia, Science and Society (A)",WI20,57,31,93.3%,90.0%,3.03,B+ (3.54),B+ (3.59)
"Mel, Stephanie",BILD 4 - Introductory Biology Lab (A),WI20,187,100,94.6%,98.9%,2.84,A- (3.70),A- (3.72)
"Reuther, Keefe",BILD 4 - Introductory Biology Lab (B),WI20,191,147,95.1%,97.9%,3.18,A- (3.72),A- (3.79)
"Mel, Stephanie",BILD 60 - DEI in Relation to Human Bio (A),WI20,47,19,82.4%,94.1%,3.09,A- (3.80),A- (3.72)
"Saier, Milton H.",BILD 87 - Freshman Seminar (A),WI20,13,7,100.0%,100.0%,1.07,A (4.00),N/A
"Saier, Milton H.",BILD 87 - Freshman Seminar (B),WI20,14,6,83.3%,83.3%,0.83,A (4.00),N/A
"Mel, Stephanie",BILD 1 - The Cell (A),FA19,154,108,91.6%,93.5%,4.67,B (3.21),C+ (2.44)
"Pekkurnaz Banghart, Gulcin",BILD 1 - The Cell (B),FA19,303,259,92.6%,93.3%,4.76,B+ (3.43),B+ (3.31)
"Cooper, Andrew Michael",BILD 1 - The Cell (C),FA19,376,312,92.6%,94.2%,4.78,B+ (3.31),B- (2.91)
"Glasgow, Stacey Marie",BILD 2 - Multicellular Life (A),FA19,371,320,93.0%,72.0%,6.22,B+ (3.51),B- (2.97)
"Owens, Melinda Tsao-Ying",BILD 2 - Multicellular Life (A),FA19,371,320,93.0%,89.1%,6.22,B+ (3.51),B- (2.97)
"Rana, Brinda Kanti",BILD 20 - Human Genetics/Modern Society (A),FA19,132,115,83.3%,83.2%,3.17,B+ (3.39),B+ (3.49)
"Stockwell, Sarah R",BILD 3 - Organismic&Evolutionary Biol (A),FA19,190,135,89.5%,97.7%,5.73,B (3.13),C+ (2.64)
"Stockwell, Sarah R",BILD 3 - Organismic&Evolutionary Biol (B),FA19,384,283,93.2%,94.6%,4.79,B (3.23),C+ (2.62)
"Reuther, Keefe",BILD 3 - Organismic&Evolutionary Biol (C),FA19,376,331,95.4%,97.0%,4.60,B (3.27),B- (2.98)
"Hedrick, Stephen M",BILD 30 - Biol of Plagues:Past & Present (A),FA19,119,69,95.7%,95.5%,3.40,B (3.21),B- (2.98)
"Lo, Stanley Malvin Ming-Hi",BILD 4 - Introductory Biology Lab (A),FA19,378,323,95.3%,97.5%,2.76,B+ (3.61),B+ (3.69)
"Mel, Stephanie",BILD 4 - Introductory Biology Lab (B),FA19,191,112,94.4%,99.1%,2.74,B+ (3.54),B+ (3.61)
"Reuther, Keefe",BILD 4 - Introductory Biology Lab (C),FA19,190,143,92.1%,97.1%,3.30,B+ (3.55),A- (3.74)
"Macagno, Eduardo R.",BILD 60 - DEI in Relation to Human Bio (A),FA19,44,23,87.0%,86.4%,3.20,B+ (3.61),A- (3.77)
"Pogliano, Joseph",BILD 70 - Genomics Research Init Lab I (A),FA19,28,20,100.0%,100.0%,2.18,A- (3.89),A- (3.96)
"Saier, Milton H.",BILD 87 - Freshman Seminar (A),FA19,15,8,100.0%,100.0%,0.79,A (4.00),N/A
"Saier, Milton H.",BILD 87 - Freshman Seminar (B),FA19,19,12,80.0%,80.0%,0.70,A (4.00),N/A
"Butler, Madeline",BILD 96 - Biology: Honors Seminar (A),FA19,45,27,88.5%,96.2%,0.81,A (4.00),N/A
"Gustafson-Brown, Cindy",BILD 1 - The Cell (A),S219,96,37,80.0%,80.0%,9.30,B (3.19),B- (2.75)
"Reuther, Keefe",BILD 1 - The Cell (B),S219,59,56,98.2%,100.0%,6.64,B (3.23),B+ (3.39)
"Park, Ji Young",BILD 2 - Multicellular Life (A),S219,104,94,96.7%,87.0%,7.54,B (3.19),B (3.27)
"Butler, Shannon Rhey",BILD 3 - Organismic&Evolutionary Biol (A),S219,78,66,90.9%,98.5%,5.35,B+ (3.33),B (3.12)
"Reuther, Keefe",BILD 4 - Introductory Biology Lab (A),S219,48,44,97.6%,100.0%,3.85,A- (3.77),A- (3.75)
"Adomako, Marie Antonia",BILD 1 - The Cell (A),S119,102,89,93.3%,94.3%,6.84,B+ (3.35),B (3.16)
"Saier, Milton H.",BILD 18 - Human Impact on the Environmnt (A),S119,20,6,50.0%,50.0%,4.17,B+ (3.50),B- (2.81)
"Rizk, Maryan Girgis Soliman",BILD 2 - Multicellular Life (A),S119,114,52,100.0%,95.9%,5.86,B+ (3.63),B+ (3.55)
"Rana, Brinda Kanti",BILD 20 - Human Genetics/Modern Society (A),S119,9,9,100.0%,100.0%,2.50,A- (3.71),N/A
"Butler, Shannon Rhey",BILD 3 - Organismic&Evolutionary Biol (A),S119,81,61,86.9%,88.3%,5.58,B+ (3.36),B (3.20)
"Patrick, Gentry",BILD 1 - The Cell (A),SP19,389,334,88.7%,83.8%,4.93,B (3.10),B (3.01)
"Pekkurnaz Banghart, Gulcin",BILD 1 - The Cell (B),SP19,320,160,79.2%,63.3%,5.13,B (3.23),B+ (3.40)
"Owens, Melinda Tsao-Ying",BILD 1 - The Cell (C),SP19,48,43,93.0%,95.3%,5.62,B+ (3.48),B (3.13)
"Saier, Milton H.",BILD 18 - Human Impact on the Environmnt (A),SP19,124,79,54.7%,65.3%,3.11,B- (2.88),B- (2.84)
"Wasserman, Steven A.",BILD 2 - Multicellular Life (A),SP19,196,88,87.1%,83.3%,6.12,B (3.04),B- (2.76)
"Owens, Melinda Tsao-Ying",BILD 2 - Multicellular Life (B),SP19,256,211,93.8%,87.6%,5.18,A- (3.71),B (3.29)
"Cooper, Kimberly Lynn",BILD 3 - Organismic&Evolutionary Biol (A),SP19,247,189,88.8%,95.2%,5.23,B (3.14),B- (2.79)
"Kurle, Carolyn M.",BILD 3 - Organismic&Evolutionary Biol (B),SP19,384,180,95.9%,98.2%,4.27,B+ (3.36),B- (2.87)
"Mel, Stephanie",BILD 4 - Introductory Biology Lab (A),SP19,176,136,90.3%,98.5%,3.00,A- (3.77),A- (3.78)
"Mohan, Swarna",BILD 4 - Introductory Biology Lab (B),SP19,111,70,90.9%,87.7%,2.41,A- (3.76),B+ (3.54)
"Rifkin, Scott",BILD 60 - DEI in Relation to Human Bio (A),SP19,45,19,83.3%,100.0%,4.50,A- (3.75),B+ (3.50)
"Bier, Ethan",BILD 7 - The Beginning of Life (A),SP19,169,54,76.0%,88.0%,3.26,B (3.20),B (3.02)
"Saier, Milton H.",BILD 87 - Freshman Seminar (B),SP19,19,7,100.0%,100.0%,0.50,A (4.00),N/A
"Burg, Michael",BILD 1 - The Cell (A),WI19,394,356,96.6%,97.7%,4.15,B+ (3.43),B (3.14)
"Cooper, Andrew Michael",BILD 1 - The Cell (B),WI19,366,317,93.6%,95.2%,4.87,B+ (3.30),B (3.14)
"Byrne, Kathryne",BILD 1 - The Cell (C),WI19,186,102,72.8%,51.6%,5.79,B- (2.95),B+ (3.33)
"Komiyama, Takaki",BILD 12 - Neurobiology and Behavior (A),WI19,134,57,90.9%,98.1%,3.70,B+ (3.37),B- (2.74)
"Su, Chih-Ying",BILD 2 - Multicellular Life (A),WI19,166,78,86.7%,84.0%,6.37,B (3.13),B- (2.71)
"Owens, Melinda Tsao-Ying",BILD 2 - Multicellular Life (B),WI19,47,44,97.7%,90.9%,6.05,B+ (3.45),B+ (3.35)
"Strause, Linda G.",BILD 22 - Human Nutrition (A),WI19,386,234,96.4%,95.0%,3.13,B+ (3.68),B+ (3.54)
"Reuther, Keefe",BILD 3 - Organismic&Evolutionary Biol (A),WI19,379,330,92.9%,98.2%,4.65,B (3.07),B- (2.94)
"Stockwell, Sarah R",BILD 3 - Organismic&Evolutionary Biol (B),WI19,366,253,91.1%,94.7%,5.35,B (3.20),B- (2.70)
"Macagno, Eduardo R.","BILD 38 - Dementia, Science and Society (A)",WI19,43,23,100.0%,95.5%,3.32,B+ (3.58),B+ (3.49)
"Mel, Stephanie",BILD 4 - Introductory Biology Lab (A),WI19,185,141,94.8%,100.0%,3.07,B+ (3.69),B+ (3.63)
"Reuther, Keefe",BILD 4 - Introductory Biology Lab (B),WI19,176,135,90.3%,99.3%,3.05,A- (3.74),A- (3.78)
"Mohan, Swarna",BILD 4 - Introductory Biology Lab (C),WI19,173,130,89.9%,82.9%,3.32,B+ (3.61),B+ (3.55)
"Mel, Stephanie",BILD 60 - DEI in Relation to Human Bio (A),WI19,45,21,100.0%,100.0%,2.98,A- (3.81),A- (3.77)
"Saier, Milton H.",BILD 87 - Freshman Seminar (A),WI19,15,11,100.0%,100.0%,0.68,A (4.00),N/A
"Saier, Milton H.",BILD 87 - Freshman Seminar (B),WI19,16,10,100.0%,88.9%,0.50,A (4.00),N/A
"Mel, Stephanie",BILD 1 - The Cell (A),FA18,275,127,88.5%,89.3%,5.25,B (3.18),C+ (2.35)
"Cooper, Andrew Michael",BILD 1 - The Cell (B),FA18,278,247,91.8%,95.1%,5.13,B (3.22),B- (2.89)
"Byrne, Kathryne",BILD 1 - The Cell (C),FA18,145,75,61.8%,41.8%,5.65,B+ (3.30),B+ (3.31)
"Burg, Michael",BILD 10 - Fundamental Concepts/Modrn Bio (A),FA18,343,296,95.2%,98.3%,3.67,B+ (3.50),B+ (3.40)
"Burg, Michael",BILD 2 - Multicellular Life (A),FA18,399,364,98.9%,97.5%,4.70,B+ (3.53),B+ (3.36)
"Rana, Brinda Kanti",BILD 20 - Human Genetics/Modern Society (A),FA18,113,64,73.0%,73.0%,3.53,B (3.04),B- (2.91)
"Stockwell, Sarah R",BILD 3 - Organismic&Evolutionary Biol (A),FA18,381,289,86.5%,87.5%,5.73,B (3.23),B- (2.80)
"Stockwell, Sarah R",BILD 3 - Organismic&Evolutionary Biol (B),FA18,371,299,88.8%,93.8%,5.38,B (3.19),B- (2.80)
"Broccard Bell, Heather Chr",BILD 3 - Organismic&Evolutionary Biol (C),FA18,116,65,90.3%,92.9%,3.88,B+ (3.49),C+ (2.47)
"Lo, Stanley Malvin Ming-Hi",BILD 4 - Introductory Biology Lab (A),FA18,372,325,90.7%,95.0%,3.50,B+ (3.50),B+ (3.69)
"Mel, Stephanie",BILD 4 - Introductory Biology Lab (B),FA18,186,148,96.5%,97.9%,2.83,B+ (3.59),B+ (3.69)
"Macagno, Eduardo R.",BILD 60 - DEI in Relation to Human Bio (A),FA18,41,17,76.5%,64.7%,2.97,A- (3.75),A- (3.79)
"Mohan, Swarna",BILD 70 - Genomics Research Init Lab I (A),FA18,27,20,100.0%,100.0%,1.97,A- (3.84),A (4.00)
"Saier, Milton H.",BILD 87 - Freshman Seminar (A),FA18,19,11,88.9%,100.0%,0.50,A (4.00),N/A
"Saier, Milton H.",BILD 87 - Freshman Seminar (B),FA18,19,11,63.6%,81.8%,0.68,A (4.00),N/A
"Butler, Madeline",BILD 96 - Biology: Honors Seminar (A),FA18,22,21,95.2%,100.0%,0.60,A (4.00),N/A
"Mohan, Swarna",BILD 1 - The Cell (A),S218,37,27,88.5%,88.5%,8.20,B (3.04),C+ (2.44)
"Gustafson-Brown, Cindy",BILD 10 - Fundamental Concepts/Modrn Bio (A),S218,28,24,91.3%,95.7%,7.46,B (3.20),B- (2.86)
"Chu, Monica W",BILD 12 - Neurobiology and Behavior (A),S218,27,9,100.0%,100.0%,5.61,B (3.25),B+ (3.39)
"Vijapurkar, Ulka",BILD 2 - Multicellular Life (A),S218,63,17,93.8%,100.0%,7.75,B+ (3.40),B (3.28)
"Broccard Bell, Heather Chr",BILD 3 - Organismic&Evolutionary Biol (A),S218,65,28,72.0%,88.0%,6.12,B (3.21),C+ (2.69)
"Lo, Stanley Malvin Ming-Hi",BILD 4 - Introductory Biology Lab (A),S218,57,23,90.0%,100.0%,4.21,B+ (3.57),A- (3.73)
"Davis, Amanda Gabrielle",BILD 1 - The Cell (A),S118,62,56,94.6%,92.9%,7.61,B+ (3.39),B- (2.89)
"Saier, Milton H.",BILD 18 - Human Impact on the Environmnt (A),S118,14,10,90.0%,77.8%,6.50,B (3.00),N/A
