Instructor,Course,Term,Enroll,Evals Made,Rcmnd Class,Rcmnd Instr,Study Hrs/wk,Avg Grade Expected,Avg Grade Received
"Lee, Jeyseon",LTKO 1C,SP21,25,13,0.9229999999999999,0.769,5.73,3.89,3.63
"Lee, Don Uk",LTKO 1C,SP21,23,7,1.0,1.0,5.36,3.6,3.2
"Lee, Don Uk",LTKO 1C,SP21,28,10,1.0,1.0,6.28,3.86,3.51
"Yim, Nancy",LTKO 1C,SP21,27,15,0.9329999999999999,1.0,6.1,3.0,3.41
"Murray, Kourtney Kristine",LTLA 3,SP21,37,12,1.0,1.0,4.17,3.82,3.71
"Wells, Patricia Rebecca",LTRU 1C,SP21,20,8,1.0,1.0,4.0,4.0,3.86
"Blanco, John D",LTSP 140,SP21,20,9,1.0,1.0,7.83,3.33,3.62
"Arcos Herrera, Carol",LTSP 175,SP21,29,8,1.0,1.0,5.75,3.75,3.33
"Caro Melendez, Eduardo",LTSP 2A,SP21,20,9,1.0,1.0,4.5,3.63,3.5
"Caro Melendez, Eduardo",LTSP 2A,SP21,26,12,1.0,1.0,4.33,3.91,3.62
"Ruiz Blanco, Angel",LTSP 2C,SP21,27,11,1.0,1.0,4.9,3.9,3.61
"Ruiz Blanco, Angel",LTSP 2C,SP21,28,13,0.9229999999999999,0.9229999999999999,4.35,3.54,3.48
"Dominguez, Noelia",LTSP 2C,SP21,26,7,0.833,1.0,5.83,3.0,3.39
"duBois, Page Ann",LTWL 100,SP21,52,26,0.96,0.84,3.46,3.65,3.38
"Cohen, Alain J. J.",LTWL 128,SP21,21,4,0.75,0.5,6.5,3.33,3.56
"De Marchi Gherini, Adriana",LTWL 172,SP21,48,13,1.0,1.0,4.04,4.0,3.9
"Myerston Santana, Jacobo",LTWL 19C,SP21,31,9,1.0,0.889,4.94,3.67,3.59
"Forbes, Camille",LTWR 100,SP21,23,20,1.0,1.0,4.0,3.58,3.53
"Doller, Ben",LTWR 102,SP21,23,8,1.0,1.0,4.0,4.0,3.69
"Jemc, Jaclyn",LTWR 110,SP21,23,9,1.0,0.875,5.0,3.86,3.49
"Ali, Mohammad Kazim",LTWR 115,SP21,23,10,1.0,1.0,4.3,3.8,3.79
"Jemc, Jaclyn",LTWR 126,SP21,23,7,1.0,1.0,5.07,3.57,3.56
"Doller, Ben",LTWR 129,SP21,24,6,1.0,1.0,2.5,4.0,3.8
