Instructor,Course,Term,Enroll,Evals Made,Rcmnd Class,Rcmnd Instr,Study Hrs/wk,Avg Grade Expected,Avg Grade Received
"Hoang, Lily Kim",LTWR 194,FA19,24,9,1.0,1.0,7.61,4.0,3.61
"Hoang, Lily Kim",LTWR 8A,FA19,101,43,0.929,0.857,3.79,3.88,3.79
"Ali, Mohammad Kazim",LTWR 8B,FA19,74,22,1.0,0.9520000000000001,3.36,3.9,3.87
"Kokotovic, Milos",LTAM 110,SP19,63,22,0.9440000000000001,1.0,8.28,3.44,3.33
"Liao, Ping H",LTCH 101,SP19,136,41,0.8109999999999999,0.8059999999999999,4.61,3.55,3.36
"Nguyen, Hoang Tan",LTCS 130,SP19,44,12,0.917,0.909,3.67,3.91,3.56
"Liao, Ping H",LTEA 110A,SP19,123,37,0.647,0.5589999999999999,5.15,3.36,2.97
"Heinrich, Larissa",LTEA 120C,SP19,402,132,0.902,0.934,4.89,3.76,3.53
"Lee, Jin-Kyung",LTEA 143,SP19,139,48,0.978,0.935,4.95,3.95,3.77
"Loose, Margaret",LTEN 124,SP19,31,29,0.966,1.0,5.26,3.55,3.54
"Loose, Margaret",LTEN 142,SP19,32,28,1.0,1.0,6.79,3.48,3.87
"Nicolazzo, Sarah E.",LTEN 149,SP19,30,9,1.0,1.0,3.83,3.83,3.47
"Walkiewicz, Kathryn A",LTEN 154,SP19,55,17,1.0,1.0,5.21,3.69,3.65
"Cancel, Robert",LTEN 159,SP19,22,5,0.667,0.667,3.17,3.67,3.17
"Vijay, Ameeth Varma",LTEN 23,SP19,63,35,0.857,0.7859999999999999,5.05,3.28,3.47
"Childs, Dennis R.",LTEN 27,SP19,82,38,0.912,0.912,4.89,3.41,3.3
"Jed, Stephanie H",LTEU 140,SP19,68,17,1.0,1.0,4.62,3.88,3.88
"Lee, Jin-Kyung",LTKO 100,SP19,23,5,1.0,1.0,5.3,3.8,3.82
"Lee, Jeyseon",LTKO 1C,SP19,24,14,0.929,0.929,4.65,3.7,3.61
"Lee, Jeyseon",LTKO 2C,SP19,30,8,1.0,1.0,5.36,3.67,3.63
"Murray, Kourtney Kristine",LTLA 3,SP19,30,9,1.0,1.0,4.5,3.14,3.03
"Wells, Patricia Rebecca",LTRU 104A,SP19,26,9,1.0,1.0,3.75,3.63,4.0
"Wells, Patricia Rebecca",LTRU 1C,SP19,21,5,1.0,1.0,7.7,3.75,3.75
"Kokotovic, Milos",LTSP 138,SP19,32,15,1.0,1.0,6.81,3.67,3.53
"Martin-Cabrera, Luis",LTSP 171,SP19,22,7,1.0,0.857,4.79,3.86,4.0
"Pita, Beatrice M",LTSP 2E,SP19,25,18,1.0,1.0,5.94,3.53,3.57
"duBois, Page Ann",LTWL 106,SP19,49,22,0.905,0.895,3.36,3.84,3.5
"De Marchi Gherini, Adriana",LTWL 160,SP19,37,16,1.0,1.0,3.63,3.63,3.92
"Cohen, Alain J. J.",LTWL 184,SP19,45,9,1.0,0.875,7.25,3.29,3.37
"Wirshbo, Eliot",LTWL 19C,SP19,21,10,0.889,1.0,6.06,3.13,2.88
"Ali, Mohammad Kazim",LTWR 100,SP19,23,7,0.857,0.857,4.21,3.5,3.56
"Som, Brandon D",LTWR 102,SP19,23,15,1.0,1.0,5.42,3.85,3.9
"Ali, Mohammad Kazim",LTWR 115,SP19,21,10,0.556,0.667,3.9,3.9,3.76
"Forbes, Camille",LTWR 126,SP19,23,19,0.895,1.0,3.66,3.68,3.43
"Som, Brandon D",LTWR 148,SP19,23,17,1.0,1.0,4.5,3.75,3.7
"Doller, Ben",LTWR 8B,SP19,100,47,0.977,0.977,2.68,3.83,3.87
"Hoang, Lily Kim",LTWR 8C,SP19,61,41,1.0,1.0,3.09,3.72,3.54
"Heinrich, Larissa",LTCH 101,WI19,138,49,0.9129999999999999,0.956,6.59,3.87,3.67
"Liao, Ping H",LTCS 52,WI19,74,33,0.857,0.889,3.1,3.73,3.29
"Liao, Ping H",LTEA 120B,WI19,181,62,0.831,0.8420000000000001,4.09,3.76,3.41
"Icreverzi, Kimberly Heathe",LTEA 132,WI19,38,16,0.813,0.875,7.13,3.15,3.32
"Lee, Jin-Kyung",LTEA 142,WI19,180,60,0.9109999999999999,0.927,3.68,3.87,3.91
"Loose, Margaret",LTEN 127,WI19,20,16,1.0,1.0,4.75,3.57,3.54
"Walkiewicz, Kathryn A",LTEN 149,WI19,28,13,1.0,1.0,5.0,3.85,3.79
"Nguyen, Hoang Tan",LTEN 178,WI19,22,8,1.0,0.857,5.0,3.75,3.58
"Nicolazzo, Sarah E.",LTEN 22,WI19,59,36,1.0,0.938,4.86,3.24,3.25
"Wesling, Megan E.",LTEN 26,WI19,52,35,0.879,0.848,6.32,3.29,3.42
"Sanchez, Rosaura",LTEN 29,WI19,92,71,0.937,0.903,3.76,3.55,3.21
"Jed, Stephanie H",LTEU 105,WI19,46,13,1.0,0.917,2.65,4.0,3.97
"De Marchi Gherini, Adriana",LTEU 140,WI19,35,15,0.9329999999999999,1.0,4.63,3.67,3.92
"Ploye, Catherine",LTFR 116,WI19,24,9,1.0,1.0,4.06,3.67,3.77
"Lee, Jin-Kyung",LTKO 100,WI19,29,9,0.75,0.75,8.0,3.75,3.78
"Murray, Kourtney Kristine",LTLA 2,WI19,30,14,1.0,0.9229999999999999,6.35,3.42,3.42
"Wells, Patricia Rebecca",LTRU 1B,WI19,27,12,1.0,1.0,6.0,3.78,3.36
"Kokotovic, Milos",LTSP 138,WI19,21,10,1.0,1.0,10.0,3.5,3.39
"Pita, Beatrice M",LTSP 2D,WI19,25,18,0.9440000000000001,1.0,4.5,3.53,3.43
"duBois, Page Ann",LTWL 100,WI19,74,29,0.929,0.893,3.14,3.68,3.42
"Lerer, Seth",LTWL 114,WI19,134,58,0.946,0.946,3.29,3.76,3.83
"Glaser, Amelia",LTWL 180,WI19,22,10,1.0,1.0,4.5,3.8,3.75
"Cohen, Alain J. J.",LTWL 183,WI19,21,6,0.667,0.667,2.17,3.6,3.53
"Wirshbo, Eliot",LTWL 19B,WI19,32,13,0.818,0.818,5.41,3.0,2.6
"Banales, Melissa",LTWR 100,WI19,24,7,1.0,0.857,2.5,4.0,3.83
"Doller, Ben",LTWR 102,WI19,23,4,1.0,1.0,3.0,4.0,3.66
"Som, Brandon D",LTWR 113,WI19,22,8,1.0,1.0,6.0,3.75,3.53
"Banales, Melissa",LTWR 114,WI19,23,7,1.0,1.0,6.5,4.0,3.45
"Banales, Melissa",LTWR 143,WI19,25,7,0.857,0.857,3.93,4.0,3.99
"Springer, Anna Joy",LTWR 8A,WI19,73,39,0.882,0.758,4.56,3.55,3.37
"Forbes, Camille",LTWR 8C,WI19,56,46,0.867,0.977,4.99,3.56,3.56
"Martin-Cabrera, Luis",LTAM 110,FA18,54,22,0.909,0.95,5.32,3.59,3.2
"Wesling, Megan E.",LTCS 50,FA18,28,14,1.0,1.0,5.5,3.71,3.6
"Zhang, Yingjin",LTEA 120A,FA18,322,145,0.8320000000000001,0.8370000000000001,4.32,3.71,3.49
"Miyao, Daisuke",LTEA 138,FA18,390,133,0.961,0.9520000000000001,3.37,3.97,3.93
"Vitkus, Daniel J.",LTEN 112,FA18,21,10,0.7,0.8,6.5,3.2,3.32
"Nicolazzo, Sarah E.",LTEN 140,FA18,39,15,1.0,1.0,5.3,3.53,3.63
"Suzuki, Erin M.",LTEN 158,FA18,31,11,1.0,1.0,5.9,3.55,3.45
"Wesling, Megan E.",LTEN 175A,FA18,20,6,1.0,1.0,8.83,3.8,3.71
"Nicolazzo, Sarah E.",LTEN 178,FA18,32,13,1.0,1.0,4.65,3.45,3.36
"Vitkus, Daniel J.",LTEN 21,FA18,59,38,0.75,0.743,5.69,2.97,3.09
"Walkiewicz, Kathryn A",LTEN 25,FA18,63,34,1.0,1.0,6.25,3.61,3.63
"Suzuki, Erin M.",LTEN 28,FA18,147,92,0.988,1.0,3.68,3.36,3.39
"Fischer-Grunski, Eva K",LTGM 2A,FA18,22,9,1.0,1.0,5.17,3.71,3.47
"De Marchi Gherini, Adriana",LTIT 2A,FA18,31,14,1.0,1.0,3.64,3.7,4.0
"Lee, Jeyseon",LTKO 2A,FA18,22,8,0.833,1.0,4.79,3.0,3.07
"Lee, Jeyseon",LTKO 2A,FA18,24,10,0.889,0.889,4.3,3.5,3.07
"Lee, Jeyseon",LTKO 2A,FA18,24,13,0.833,0.833,4.67,3.29,3.07
"Wirshbo, Eliot",LTLA 1,FA18,24,11,0.909,0.909,8.14,3.18,3.3
"Murray, Kourtney Kristine",LTLA 1,FA18,34,19,1.0,0.9440000000000001,5.61,3.25,3.23
"Wirshbo, Eliot",LTLA 103,FA18,21,7,1.0,1.0,7.17,3.33,3.22
"Wells, Patricia Rebecca",LTRU 1A,FA18,34,18,1.0,0.9329999999999999,7.21,3.15,3.7
"Wells, Patricia Rebecca",LTRU 2A,FA18,24,9,1.0,1.0,4.06,4.0,3.82
"Martin-Cabrera, Luis",LTSP 123,FA18,21,8,0.875,0.875,4.75,3.71,3.55
"Chacon, Gloria Elizabeth",LTSP 174,FA18,21,15,1.0,1.0,6.36,3.79,3.75
"Pita, Beatrice M",LTSP 2B,FA18,21,14,1.0,1.0,5.21,3.58,3.55
"Lerer, Seth",LTTH 110,FA18,42,18,1.0,1.0,5.91,3.75,3.88
"Jed, Stephanie H",LTWL 177,FA18,61,24,0.958,0.958,2.75,3.92,3.95
"Nguyen, Hoang Tan",LTWL 181,FA18,26,14,0.929,1.0,4.21,3.77,3.68
"Wirshbo, Eliot",LTWL 19A,FA18,39,18,0.8240000000000001,0.882,5.72,3.0,2.45
"Forbes, Camille",LTWR 100,FA18,24,8,1.0,1.0,3.5,3.25,3.33
"Banales, Melissa",LTWR 102,FA18,23,5,1.0,1.0,4.5,3.8,3.97
"Springer, Anna Joy",LTWR 106,FA18,25,6,0.5,0.16699999999999998,2.5,3.17,3.75
"Banales, Melissa",LTWR 119,FA18,25,8,1.0,0.857,3.36,3.86,3.98
"Hoang, Lily Kim",LTWR 148,FA18,21,8,0.75,0.875,7.75,3.75,3.77
"Springer, Anna Joy",LTWR 8A,FA18,86,49,0.938,0.917,5.75,3.59,3.75
"Som, Brandon D",LTWR 8B,FA18,83,54,1.0,1.0,3.5,3.85,3.69
"Liao, Ping H",LTCH 101,SP18,50,21,0.9470000000000001,1.0,4.61,3.94,3.48
"Liao, Ping H",LTEA 110A,SP18,127,31,0.7859999999999999,0.679,5.83,3.59,2.89
"Heinrich, Larissa",LTEA 110C,SP18,210,74,0.9279999999999999,0.925,4.89,3.84,3.81
"Berthelier, Benoit P",LTEA 142,SP18,156,64,0.922,0.9690000000000001,3.53,3.54,3.25
"Lerer, Seth",LTEN 113,SP18,38,12,1.0,1.0,7.77,3.8,3.86
"Loose, Margaret",LTEN 127,SP18,30,25,0.96,1.0,3.38,3.61,3.38
"Walkiewicz, Kathryn A",LTEN 149,SP18,21,8,1.0,1.0,8.0,3.88,3.71
"Walkiewicz, Kathryn A",LTEN 154,SP18,20,7,0.857,1.0,5.93,3.86,3.68
"Suzuki, Erin M.",LTEN 178,SP18,26,11,1.0,1.0,5.95,3.43,3.58
"Blanco, John D",LTEN 181,SP18,27,14,0.7140000000000001,0.769,5.21,3.73,3.86
"Vijay, Ameeth Varma",LTEN 23,SP18,35,19,0.889,0.9440000000000001,4.72,3.65,3.66
"Suzuki, Erin M.",LTEN 26,SP18,65,29,0.9229999999999999,1.0,4.43,3.54,3.22
"Odom, Mychal Matsemelaali",LTEN 27,SP18,79,36,0.722,0.743,3.44,3.77,3.72
"Ploye, Catherine",LTFR 2A,SP18,24,10,0.9,1.0,6.9,3.5,3.47
"Mebane, Julia",LTGK 3,SP18,20,12,1.0,1.0,5.41,3.6,3.63
"Mebane, Julia",LTLA 3,SP18,31,16,1.0,1.0,5.13,3.13,3.31
"Wells, Patricia Rebecca",LTRU 1C,SP18,32,12,1.0,1.0,4.14,3.86,3.79
"Sanchez, Rosaura",LTSP 135B,SP18,26,8,0.875,0.875,5.5,3.5,3.6
"Martin-Cabrera, Luis",LTSP 171,SP18,28,4,1.0,1.0,9.0,3.33,3.6
"Pita, Beatrice M",LTSP 2E,SP18,25,11,1.0,1.0,3.3,3.3,3.4
"Lerer, Seth",LTWL 114,SP18,132,47,0.977,1.0,3.62,3.59,3.74
"De Marchi Gherini, Adriana",LTWL 172,SP18,35,13,0.846,0.9229999999999999,3.12,4.0,4.0
"Wirshbo, Eliot",LTWL 19C,SP18,22,9,0.75,0.875,4.75,2.71,2.64
"Forbes, Camille",LTWR 100,SP18,23,17,0.875,0.875,5.13,3.63,3.51
"Springer, Anna Joy",LTWR 106,SP18,22,9,1.0,1.0,5.25,3.5,3.83
"Banales, Melissa",LTWR 113,SP18,23,10,1.0,1.0,3.83,4.0,3.93
"Springer, Anna Joy",LTWR 115,SP18,20,7,0.833,1.0,4.83,3.83,4.0
"Pafunda, Danielle",LTWR 148,SP18,34,10,1.0,1.0,5.3,3.8,3.48
"Hoang, Lily Kim",LTWR 8A,SP18,94,40,0.9209999999999999,0.895,5.06,3.54,3.57
"Pafunda, Danielle",LTWR 8C,SP18,66,28,0.889,0.9229999999999999,4.2,3.61,3.6
"Liao, Ping H",LTCS 52,WI18,60,29,0.821,0.893,3.64,3.87,3.76
"Heinrich, Larissa",LTEA 110B,WI18,167,59,0.845,0.86,5.73,3.8,3.68
"Miyao, Daisuke",LTEA 132,WI18,40,24,1.0,1.0,3.58,3.71,3.81
"Miyao, Daisuke",LTEA 138,WI18,387,146,0.972,0.993,3.16,3.87,3.9
"Walkiewicz, Kathryn A",LTEN 148,WI18,27,16,1.0,1.0,4.88,3.75,3.84
"Suzuki, Erin M.",LTEN 159,WI18,22,10,1.0,1.0,7.1,3.89,3.48
"Lampert-Weissig, Lisa",LTEN 178,WI18,31,21,0.9520000000000001,1.0,6.6,3.81,3.71
"Nicolazzo, Sarah E.",LTEN 22,WI18,52,26,0.84,1.0,5.46,3.33,3.56
"Johnson, Sara E.",LTEN 25,WI18,45,38,0.892,0.972,4.07,3.69,3.48
"Sanchez, Rosaura",LTEN 29,WI18,76,40,0.838,0.838,4.28,3.64,3.59
"De Marchi Gherini, Adriana",LTEU 105,WI18,37,15,0.867,1.0,4.23,3.87,4.0
"Morse, Ainsley",LTEU 154,WI18,23,15,1.0,1.0,5.64,3.57,3.91
"Myerston Santana, Jacobo",LTGK 2,WI18,23,13,0.9229999999999999,1.0,7.12,3.64,3.72
"Fischer-Grunski, Eva K",LTGM 2B,WI18,20,12,1.0,1.0,2.68,3.88,3.52
"Mebane, Julia",LTLA 2,WI18,22,9,0.889,1.0,5.17,3.78,3.5
"Mebane, Julia",LTLA 2,WI18,26,15,1.0,1.0,5.3,3.64,3.5
"Wells, Patricia Rebecca",LTRU 1B,WI18,31,16,1.0,1.0,5.13,4.0,3.69
"Kokotovic, Milos",LTSP 142,WI18,27,17,0.875,1.0,4.5,3.6,3.5
"Pita, Beatrice M",LTSP 2C,WI18,25,15,0.9229999999999999,1.0,4.36,3.3,3.29
"Pita, Beatrice M",LTSP 2C,WI18,24,13,0.9229999999999999,0.846,4.96,3.33,3.29
"Pita, Beatrice M",LTSP 2C,WI18,22,14,1.0,0.7859999999999999,3.5,3.67,3.29
"Vitkus, Daniel J.",LTTH 115,WI18,29,10,1.0,1.0,8.1,3.1,3.18
"duBois, Page Ann",LTWL 100,WI18,69,38,0.865,0.889,4.08,3.48,3.4
"Lerer, Seth",LTWL 116,WI18,113,49,0.9359999999999999,0.915,3.82,3.77,3.42
"Rahimi, Babak",LTWL 157,WI18,52,25,0.88,0.917,5.06,3.84,3.87
"Cohen, Alain J. J.",LTWL 183,WI18,25,12,1.0,1.0,3.0,3.73,3.85
"Pafunda, Danielle",LTWR 106,WI18,21,11,1.0,1.0,5.41,3.82,4.0
"Banales, Melissa",LTWR 113,WI18,24,10,1.0,1.0,3.9,4.0,3.99
"Springer, Anna Joy",LTWR 114,WI18,23,10,0.9,0.9,7.9,3.8,3.82
"Hoang, Lily Kim",LTWR 140,WI18,34,7,0.857,0.857,2.5,3.86,3.74
"Doller, Ben",LTWR 8B,WI18,99,50,0.958,0.917,2.83,3.87,3.92
"Forbes, Camille",LTWR 8C,WI18,61,47,0.83,0.8909999999999999,3.31,3.45,3.38
"Kokotovic, Milos",LTAM 110,FA17,59,27,0.9620000000000001,0.958,5.96,3.67,3.29
"Nicolazzo, Sarah E.",LTCS 130,FA17,54,31,0.9,0.9309999999999999,3.57,3.5,3.3
"Woodhull, Winifred Johanna",LTCS 133,FA17,21,9,1.0,1.0,3.39,3.13,3.75
"Liao, Ping H",LTEA 120B,FA17,275,82,0.8590000000000001,0.88,3.93,3.67,3.32
"Loose, Margaret",LTEN 124,FA17,21,18,1.0,1.0,4.94,3.78,4.0
"Wesling, Megan E.",LTEN 159,FA17,21,16,1.0,1.0,9.17,3.77,3.56
"Wesling, Megan E.",LTEN 175A,FA17,25,12,1.0,1.0,6.3,3.82,3.75
"O'Brien, William Arctander",LTEN 176,FA17,53,32,0.935,0.966,4.05,3.37,3.29
"Suzuki, Erin M.",LTEN 189,FA17,21,10,1.0,1.0,6.7,3.6,3.45
"Lerer, Seth",LTEN 21,FA17,78,36,0.857,0.971,5.93,3.24,3.21
"Suzuki, Erin M.",LTEN 28,FA17,159,88,0.9279999999999999,0.988,4.43,3.58,3.66
"Cassedy, Steven Dennis",LTEU 158,FA17,23,6,0.667,1.0,5.83,3.5,3.53
"Myerston Santana, Jacobo",LTGK 1,FA17,28,17,0.882,0.875,6.85,3.8,3.88
"Lee, Jeyseon",LTKO 2A,FA17,25,9,1.0,1.0,3.83,3.83,3.81
"Wirshbo, Eliot",LTLA 1,FA17,27,15,0.929,0.857,5.64,3.5,3.37
"Mebane, Julia",LTLA 1,FA17,32,22,1.0,1.0,5.86,3.76,3.75
"Wells, Patricia Rebecca",LTRU 1A,FA17,37,14,1.0,1.0,6.36,3.64,3.82
"Wells, Patricia Rebecca",LTRU 2A,FA17,23,10,1.0,1.0,4.1,3.8,3.79
"Pita, Beatrice M",LTSP 2B,FA17,20,12,1.0,1.0,5.17,3.44,3.43
"Jed, Stephanie H",LTWL 176,FA17,59,15,1.0,1.0,3.7,4.0,3.99
"Mebane, Julia",LTWL 19A,FA17,48,21,1.0,1.0,3.74,3.85,3.76
"Banales, Melissa",LTWR 110,FA17,24,7,1.0,1.0,4.17,4.0,3.78
"Lerer, Seth",LTWR 120,FA17,22,6,1.0,1.0,3.7,3.83,3.85
"Springer, Anna Joy",LTWR 8A,FA17,90,41,0.825,0.615,4.5,3.73,3.8
"Som, Brandon D",LTWR 8B,FA17,64,41,1.0,0.975,2.9,3.87,3.7
"Nguyen, Hoang Tan",LTCS 131,SP17,22,13,0.9229999999999999,0.846,4.96,3.91,3.67
"Zhang, Yingjin",LTEA 120A,SP17,368,176,0.857,0.8270000000000001,4.08,3.6,3.32
"Lee, Jin-Kyung",LTEA 143,SP17,93,37,0.972,0.9440000000000001,4.26,3.66,3.58
"Nicolazzo, Sarah E.",LTEN 140,SP17,24,9,1.0,0.875,6.25,3.38,3.41
"Suzuki, Erin M.",LTEN 149,SP17,25,14,1.0,0.9229999999999999,5.27,3.92,3.76
"Walkiewicz, Kathryn A",LTEN 178,SP17,20,10,1.0,1.0,7.5,4.0,3.88
"Childs, Dennis R.",LTEN 185,SP17,35,17,0.9329999999999999,0.867,7.83,3.42,3.77
"Loose, Margaret",LTEN 23,SP17,47,29,0.893,0.9640000000000001,4.93,3.64,3.39
"Suzuki, Erin M.",LTEN 26,SP17,63,24,0.826,0.7829999999999999,3.68,3.4,3.31
"Childs, Dennis R.",LTEN 27,SP17,88,31,0.897,0.862,5.19,3.17,3.08
"Lee, Jin-Kyung",LTKO 100,SP17,30,13,0.917,0.917,5.17,3.6,3.6
"Edwards, Leslie",LTLA 3,SP17,23,12,0.833,0.917,4.83,3.11,2.85
"Wells, Patricia Rebecca",LTRU 1C,SP17,23,8,1.0,1.0,6.25,3.67,3.74
"Parra, Max",LTSP 142,SP17,25,8,1.0,1.0,9.64,3.43,3.63
"Parra, Max",LTSP 171,SP17,25,8,0.875,1.0,7.25,3.63,3.46
"Pita, Beatrice M",LTSP 2E,SP17,21,9,1.0,1.0,4.06,3.88,3.44
"Jed, Stephanie H",LTTH 150,SP17,37,14,1.0,0.9229999999999999,3.41,3.92,3.85
"Myerston Santana, Jacobo",LTWL 100,SP17,35,14,0.929,0.929,3.88,3.8,3.54
"Potts, Stephen",LTWL 116,SP17,59,27,1.0,0.96,5.78,3.14,3.16
"Nguyen, Hoang Tan",LTWL 180,SP17,20,5,1.0,0.8,4.9,3.8,3.38
"Som, Brandon D",LTWR 102,SP17,23,19,1.0,1.0,4.74,3.89,3.74
"Banales, Melissa",LTWR 129,SP17,24,10,1.0,1.0,4.1,4.0,4.0
"Springer, Anna Joy",LTWR 8A,SP17,85,38,0.914,0.8290000000000001,3.64,3.77,3.81
"Forbes, Camille",LTWR 8C,SP17,44,31,0.9,0.9,3.47,3.65,3.49
"Nguyen, Hoang Tan",LTCS 130,WI17,33,16,1.0,1.0,3.12,3.91,3.6
"Liao, Ping H",LTCS 52,WI17,60,21,0.9440000000000001,0.889,4.17,3.91,3.67
"Liao, Ping H",LTEA 110A,WI17,133,44,0.841,0.705,5.05,3.69,3.6
"Heinrich, Larissa",LTEA 120C,WI17,291,103,0.99,0.99,4.39,3.91,3.33
"Lee, Jin-Kyung",LTEA 140,WI17,59,24,0.826,0.87,5.28,3.57,3.37
"Lerer, Seth",LTEN 112,WI17,36,17,1.0,1.0,4.25,3.36,3.86
"Cancel, Robert",LTEN 159,WI17,21,9,1.0,1.0,5.0,3.5,3.15
"Davidson, R. Michael",LTEN 174,WI17,31,12,1.0,1.0,6.14,3.64,3.31
"Armantrout, Rae",LTEN 175B,WI17,26,12,1.0,0.917,3.17,3.58,3.42
"Lampert-Weissig, Lisa",LTEN 178,WI17,26,20,1.0,0.95,7.5,3.59,3.62
"Blanco, John D",LTEN 181,WI17,32,13,0.833,0.833,4.17,3.44,3.77
"Lerer, Seth",LTEN 22,WI17,59,26,0.917,0.958,6.33,3.63,3.49
"Sanchez, Rosaura",LTEN 29,WI17,105,45,0.85,0.85,4.95,3.63,3.34
"Jed, Stephanie H",LTEU 105,WI17,40,19,1.0,1.0,3.72,3.83,3.95
"Edwards, Leslie",LTGK 2,WI17,21,8,1.0,1.0,4.75,4.0,3.7
"Lee, Jeyseon",LTKO 149,WI17,23,3,0.33299999999999996,0.33299999999999996,3.17,4.0,3.52
"Edwards, Leslie",LTLA 2,WI17,22,11,0.818,1.0,6.68,3.18,2.8
"Wells, Patricia Rebecca",LTRU 1B,WI17,29,16,1.0,1.0,5.3,3.92,3.7
"Kokotovic, Milos",LTSP 136,WI17,21,10,1.0,1.0,8.28,3.63,3.45
"Kokotovic, Milos",LTSP 138,WI17,21,7,1.0,1.0,6.83,3.83,3.24
"Vitkus, Daniel J.",LTTH 115,WI17,24,12,0.909,0.636,7.05,3.3,3.51
"duBois, Page Ann",LTWL 100,WI17,46,22,0.857,0.857,2.6,3.53,3.3
"Potts, Stephen",LTWL 120,WI17,62,27,0.958,0.917,4.92,3.33,2.88
"Cohen, Richard S.",LTWL 135,WI17,28,9,0.667,1.0,6.94,3.0,3.12
"De Marchi Gherini, Adriana",LTWL 172,WI17,29,9,1.0,0.889,3.17,3.78,3.98
"Wirshbo, Eliot",LTWL 19B,WI17,25,14,0.769,0.6920000000000001,5.0,2.6,2.51
"Forbes, Camille",LTWR 100,WI17,24,21,0.9470000000000001,1.0,4.5,3.58,3.24
"Chadburn, Melissa",LTWR 106,WI17,21,7,0.667,0.667,2.5,3.67,3.52
"Banales, Melissa",LTWR 110,WI17,23,6,1.0,1.0,5.17,3.83,3.95
"Chacon, Gloria Elizabeth",LTWR 113,WI17,20,17,1.0,1.0,5.03,3.69,3.29
"Heinrich, Larissa",LTWR 148,WI17,26,8,0.875,1.0,4.21,3.75,3.9
"Doller, Ben",LTWR 8B,WI17,69,30,0.963,1.0,2.72,3.88,3.91
"Forbes, Camille",LTWR 8C,WI17,48,28,0.893,0.9640000000000001,3.71,3.46,3.3
"Heinrich, Larissa",LTCH 101,FA16,108,34,0.909,0.909,5.13,3.94,3.56
"Miyao, Daisuke",LTCS 50,FA16,40,15,1.0,1.0,3.64,3.58,3.87
"Miyao, Daisuke",LTEA 138,FA16,192,76,1.0,1.0,3.1,3.97,3.95
"Lampert-Weissig, Lisa",LTEN 107,FA16,22,17,0.941,0.941,5.79,3.65,3.68
"Loose, Margaret",LTEN 124,FA16,23,13,1.0,1.0,4.5,3.0,3.61
"Loose, Margaret",LTEN 127,FA16,20,8,1.0,1.0,3.93,3.71,3.64
"Wesling, Megan E.",LTEN 175A,FA16,26,24,1.0,0.917,5.08,3.64,3.75
"O'Brien, William Arctander",LTEN 176,FA16,23,20,0.9440000000000001,0.9440000000000001,5.83,3.53,3.57
"Vitkus, Daniel J.",LTEN 21,FA16,49,22,0.95,0.95,7.4,3.12,2.95
"Johnson, Sara E.",LTEN 25,FA16,44,33,0.9329999999999999,1.0,5.03,3.32,3.34
"Suzuki, Erin M.",LTEN 28,FA16,126,74,0.915,0.958,5.93,3.45,3.48
"Edwards, Leslie",LTGK 1,FA16,24,11,1.0,1.0,6.28,3.7,3.74
"Mohr, Jeannette",LTGM 2A,FA16,25,14,1.0,1.0,4.35,3.88,3.89
"De Marchi Gherini, Adriana",LTIT 2A,FA16,20,9,1.0,1.0,3.39,3.71,3.98
"Lee, Jin-Kyung",LTKO 100,FA16,43,11,0.7,0.6,5.1,3.33,3.31
"Edwards, Leslie",LTLA 1,FA16,29,18,0.8240000000000001,0.941,5.0,3.57,2.86
"Wirshbo, Eliot",LTLA 1,FA16,22,11,1.0,1.0,9.5,3.33,2.95
"Wells, Patricia Rebecca",LTRU 1A,FA16,29,17,1.0,1.0,5.09,3.5,3.78
"Kokotovic, Milos",LTSP 138,FA16,20,9,1.0,1.0,8.0,3.75,3.51
"Potts, Stephen",LTWL 114,FA16,107,44,0.93,0.93,4.69,3.16,3.15
"Potts, Stephen",LTWL 124,FA16,23,10,0.9,1.0,4.9,3.5,3.54
"Jed, Stephanie H",LTWL 176,FA16,44,26,1.0,1.0,3.14,3.96,3.97
"Edwards, Leslie",LTWL 19A,FA16,35,20,0.895,0.895,3.94,3.74,3.64
"Forbes, Camille",LTWR 100,FA16,23,15,1.0,1.0,5.64,3.43,3.27
"Som, Brandon D",LTWR 102,FA16,22,13,1.0,1.0,4.5,3.77,3.81
"Forbes, Camille",LTWR 120,FA16,23,17,1.0,1.0,4.15,3.69,3.29
"Freilicher, Melvyn Stanley",LTWR 121,FA16,20,5,1.0,0.6,5.7,3.4,3.33
"Granger, John F",LTWR 148,FA16,22,7,0.7140000000000001,1.0,6.5,3.83,3.7
"Freilicher, Melvyn Stanley",LTWR 8A,FA16,82,40,0.946,0.892,4.39,3.39,3.43
"Som, Brandon D",LTWR 8B,FA16,75,44,0.976,0.976,3.06,3.82,3.68
"Liao, Ping H",LTCS 52,SP16,51,10,1.0,1.0,4.9,4.0,3.33
"Heinrich, Larissa",LTEA 110C,SP16,85,36,1.0,0.971,5.59,3.96,3.71
"Lerer, Seth",LTEN 110,SP16,34,18,1.0,1.0,4.61,3.73,3.79
"Nicolazzo, Sarah E.",LTEN 140,SP16,26,19,1.0,1.0,5.56,3.28,3.29
"Childs, Dennis R.",LTEN 185,SP16,31,15,1.0,0.9229999999999999,5.83,3.25,3.45
"Loose, Margaret",LTEN 23,SP16,39,34,0.853,0.912,3.94,3.36,2.94
"Johnson, Sara E.",LTEN 25,SP16,35,31,0.9670000000000001,1.0,4.97,3.62,3.65
